input,output
Indigo,"{""Molecular Formula"": ""C\u2081\u2086H\u2081\u2080N\u2082O\u2082"", ""Molar Mass"": ""262.27 g/mol"", ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""390-392 \u00b0C"", ""Water Solubility"": ""Insoluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""1.4 g/cm\u00b3"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Insulin,"{""Molecular Formula"": ""C\u2082\u2085\u2087H\u2083\u2088\u2083N\u2086\u2085O\u2087\u2087S\u2086"", ""Molar Mass"": 5808, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""Decomposes before melting"", ""Water Solubility"": ""Soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": ""N/A (complex protein)"", ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""2.8-3.5 (in solution)""}"
Iron(III) Oxide,"{""Molecular Formula"": ""Fe\u2082O\u2083"", ""Molar Mass"": 159.69, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": 1565, ""Water Solubility"": ""Insoluble"", ""Biodegradability"": ""Non-biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 5.24, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""N/A (insoluble in water)""}"
Isooctane,"{""Molecular Formula"": ""C\u2088H\u2081\u2088"", ""Molar Mass"": 114.23, ""Boiling Point"": 99.3, ""Melting Point"": -107.38, ""Water Solubility"": ""Insoluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 0.692, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Isoprene,"{""Molecular Formula"": ""C\u2085H\u2088"", ""Molar Mass"": 68.12, ""Boiling Point"": 34, ""Melting Point"": -145.95, ""Water Solubility"": ""Insoluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 0.681, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Methane,"{""Molecular Formula"": ""CH\u2084"", ""Molar Mass"": 16.04, ""Boiling Point"": -161.5, ""Melting Point"": -182.5, ""Water Solubility"": ""22.7 mg/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 0.717, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (does not dissociate in water)""}"
Methyl Alcohol (Methanol),"{""Molecular Formula"": ""CH\u2083OH"", ""Molar Mass"": 32.04, ""Boiling Point"": 64.7, ""Melting Point"": -97.6, ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 0.791, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Methylphenidate (Ritalin),"{""Molecular Formula"": ""C\u2081\u2084H\u2081\u2089NO\u2082"", ""Molar Mass"": 233.31, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""224-226"", ""Water Solubility"": ""7.6 mg/mL at 25 \u00b0C"", ""Biodegradability"": ""Not readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Not corrosive"", ""Density"": 1.13, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Monosodium Glutamate (MSG),"{""Molecular Formula"": ""C\u2085H\u2088NNaO\u2084"", ""Molar Mass"": 169.11, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": 232, ""Water Solubility"": ""740 g/L at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.62, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""6.7-7.2 (neutral in solution)""}"
Naphthalene,"{""Molecular Formula"": ""C\u2081\u2080H\u2088"", ""Molar Mass"": 128.17, ""Boiling Point"": 218, ""Melting Point"": 80.26, ""Water Solubility"": ""31.7 mg/L at 25 \u00b0C"", ""Biodegradability"": ""Not readily biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.14, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Nitric Acid,"{""Molecular Formula"": ""HNO\u2083"", ""Molar Mass"": 63.01, ""Boiling Point"": 83, ""Melting Point"": -42, ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""N/A (dissociates in water)"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Highly corrosive"", ""Density"": 1.51, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""<1 (concentrated solution)""}"
Nitric Oxide,"{""Molecular Formula"": ""NO"", ""Molar Mass"": 30.01, ""Boiling Point"": -152, ""Melting Point"": -164, ""Water Solubility"": ""Slightly soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.3402, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""N/A (gas)""}"
Nitrogen Dioxide,"{""Molecular Formula"": ""NO\u2082"", ""Molar Mass"": 46.01, ""Boiling Point"": 21, ""Melting Point"": -11.2, ""Water Solubility"": ""0.01 g/mL at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Corrosive"", ""Density"": 1.88, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""3.4-3.6 (in water)""}"
Nitrous Oxide,"{""Molecular Formula"": ""N\u2082O"", ""Molar Mass"": 44.01, ""Boiling Point"": -88.48, ""Melting Point"": -90.81, ""Water Solubility"": ""0.122 g/100 mL at 20 \u00b0C"", ""Biodegradability"": ""N/A (gas in atmosphere)"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.977, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Nitroglycerin,"{""Molecular Formula"": ""C\u2083H\u2085N\u2083O\u2089"", ""Molar Mass"": 227.09, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": 13.5, ""Water Solubility"": ""1.35 g/100 mL at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Highly flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.6, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Norethindrone,"{""Molecular Formula"": ""C\u2082\u2080H\u2082\u2086O\u2082"", ""Molar Mass"": 298.42, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""203-204"", ""Water Solubility"": ""Practically insoluble"", ""Biodegradability"": ""Not readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.13, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Penicillin,"{""Molecular Formula"": ""C\u2081\u2086H\u2081\u2088N\u2082O\u2084S"", ""Molar Mass"": 334.39, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": 214, ""Water Solubility"": ""Soluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.28, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Phenol,"{""Molecular Formula"": ""C\u2086H\u2086O"", ""Molar Mass"": 94.11, ""Boiling Point"": 181.7, ""Melting Point"": 40.5, ""Water Solubility"": ""8.3 g/100 mL at 20 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Corrosive"", ""Density"": 1.07, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""5.4 (0.1M solution)""}"
Phosphoric Acid,"{""Molecular Formula"": ""H\u2083PO\u2084"", ""Molar Mass"": 98, ""Boiling Point"": 158, ""Melting Point"": 42.35, ""Water Solubility"": ""Miscible"", ""Biodegradability"": ""N/A (dissociates in water)"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Highly corrosive"", ""Density"": 1.88, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""<1 (concentrated solution)""}"
Piperine,"{""Molecular Formula"": ""C\u2081\u2087H\u2081\u2089NO\u2083"", ""Molar Mass"": 285.34, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": ""128-130"", ""Water Solubility"": ""Insoluble"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.193, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""Neutral (7)""}"
Potassium Carbonate,"{""Molecular Formula"": ""K\u2082CO\u2083"", ""Molar Mass"": 138.21, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": 891, ""Water Solubility"": ""1100 g/L at 20 \u00b0C"", ""Biodegradability"": ""N/A (inorganic salt)"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Corrosive"", ""Density"": 2.43, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""11.5 (5% solution)""}"
Potassium Nitrate,"{""Molecular Formula"": ""KNO\u2083"", ""Molar Mass"": 101.1, ""Boiling Point"": ""Decomposes before boiling"", ""Melting Point"": 334, ""Water Solubility"": ""316 g/L at 20 \u00b0C"", ""Biodegradability"": ""N/A (inorganic salt)"", ""Flammability"": ""Non-flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 2.11, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""7 (neutral)""}"
Nicotine,"{""Molecular Formula"": ""C\u2081\u2080H\u2081\u2084N\u2082"", ""Molar Mass"": 162.23, ""Boiling Point"": 247, ""Melting Point"": -79, ""Water Solubility"": ""1 g/100 mL at 25 \u00b0C"", ""Biodegradability"": ""Readily biodegradable"", ""Flammability"": ""Flammable"", ""Corrosivity"": ""Non-corrosive"", ""Density"": 1.01, ""Radioactivity"": ""Non-radioactive"", ""pH Value"": ""10.2 (in solution)""}"
